experiment_id,method,init_name,target_department,n_support_pos,n_support_neg,inner_steps,status,gold_auroc_mean,gold_auroc_std,gold_ap_mean,gold_ap_std,gold_logloss_mean,gold_logloss_std,gold_brier_mean,gold_brier_std,gold_ece_mean,gold_ece_std,gold_f1_mean,gold_f1_std,gold_accuracy_mean,gold_accuracy_std,gold_pred_mean_mean,gold_pred_mean_std,gold_true_mean_mean,gold_true_mean_std,n_eval_rows_mean,n_eval_rows_std,n_positive_mean,n_positive_std,precision_at_5_mean,precision_at_5_std,recall_at_5_mean,recall_at_5_std,ndcg_at_5_mean,ndcg_at_5_std,precision_at_10_mean,precision_at_10_std,recall_at_10_mean,recall_at_10_std,ndcg_at_10_mean,ndcg_at_10_std,precision_at_20_mean,precision_at_20_std,recall_at_20_mean,recall_at_20_std,ndcg_at_20_mean,ndcg_at_20_std,n_metric_rows,n_predictions,n_episodes_diagnosed,collapse_rate,pred_mean_mean,pred_std_mean,frac_near_zero_mean,frac_near_one_mean,inner_lr,meta_batch_size,was_skipped,error,synthetic_proportion,augmentation_method,target_per_class,k_neighbors,stale_reason,is_stale,is_diagnostic,diagnostic_reason,is_current_clean,augmentation_method_requested,augmentation_method_actual,target_effective_k,n_real_support_rows,n_synthetic_support_rows,n_effective_support_rows,n_real_support_pos,n_real_support_neg,n_synthetic_support_pos,n_synthetic_support_neg,n_query_rows,n_query_pos,n_query_neg,n_query_synthetic_rows,gen_fallback_used,gen_skip_reason,gradient_clip_norm,inner_grad_clip,query_true_mean_mean,query_pos_count_mean,query_neg_count_mean,n_one_class_query_episodes,support_pos_count_mean,support_neg_count_mean,support_true_mean_mean
stage2__init-A_weak_only__method-anil__kpos-1__kneg-1__steps-3__target-Logistics__synprop-1__gen-smote_nc,anil,A_weak_only,Logistics,1,1,3,success,0.4595959595959596,0.1169685411921057,0.7384783273932115,0.0530245650262523,1.029921295834367,0.250645653601181,0.3850613555748215,0.0945152255648823,0.4235396242846607,0.1052013718186339,0.3333333333333333,0.2832143850560836,0.4166666666666667,0.1202729818273068,0.4556407766946244,0.2633367099733442,0.642156862745098,0.0901214525041678,16.666666666666668,0.4714045207910317,10.666666666666666,1.247219128924647,0.6666666666666666,0.1885618083164127,0.3198653198653198,0.1076388374622611,0.7586243475510317,0.1454214515027253,0.6,0.0,0.5707070707070706,0.0703453953393137,0.6931981720167201,0.0438274557379397,0.642156862745098,0.0901214525041678,1.0,0.0,0.905613499141345,0.0285667395502845,3.0,50.0,3.0,0.0,0.455640768011411,0.0820134965082009,0.0,0.0,0.01,4.0,False,,1.0,smote_nc,,5.0,synprop_1.0_invalid,True,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,
stage2__init-A_weak_only__method-anil__kpos-1__kneg-1__steps-3__target-Logistics__synprop-0.9__gen-smote_nc,anil,A_weak_only,Logistics,1,1,3,success,0.4799242424242423,0.0960180576833627,0.7574963590031842,0.0554492523486424,1.0194024098015415,0.2912462979445473,0.3801450681767697,0.1127395746317733,0.4101655118441319,0.1388548714071385,0.3333333333333333,0.3042542969064887,0.4,0.1238790569920746,0.4413917092179112,0.2533556684137875,0.6552941176470588,0.08591860636914,17.2,1.469693845669907,11.2,1.1661903789690602,0.76,0.1959591794226542,0.3419191919191919,0.0915187191312986,0.8289335930281506,0.1477328716641638,0.62,0.0399999999999999,0.5590909090909091,0.0621766197838884,0.7110483141722603,0.0479822191789697,0.6552941176470588,0.08591860636914,1.0,0.0,0.91614117139523,0.0276844944834277,5.0,86.0,5.0,0.0,0.4413916915655136,0.0780688323080539,0.0,0.0,0.01,4.0,False,,0.9,smote_nc,,5.0,,False,False,,True,,,,,,,,,,,,,,,,,,,,,,,,,
stage2__init-A_weak_only__method-anil__kpos-1__kneg-1__steps-3__target-Logistics__synprop-0__gen-none,anil,A_weak_only,Logistics,1,1,3,success,0.4916140572390574,0.0984906325417028,0.7388278836736568,0.0774474344283447,0.9268481107412644,0.2517354937169371,0.3439860977574526,0.0986291403906667,0.3524356206656173,0.1341270555669804,0.4421262481983544,0.295433390710043,0.440713406820218,0.1142006904373685,0.5177217042248199,0.2411086356166808,0.6308672132820738,0.0868460268755322,16.4,1.8814887722226776,10.3,1.552417469626003,0.7300000000000001,0.1926136028425822,0.3607323232323232,0.1043177661379256,0.7965249137246401,0.1547751257171857,0.5999999999999999,0.0547722557505166,0.5920454545454545,0.0774813360624126,0.7035160817037447,0.0535670010846976,0.6308672132820738,0.0868460268755322,1.0,0.0,0.9038053831251652,0.042369587649158,20.0,328.0,20.0,0.0,0.5177216932177544,0.0800408296287059,0.0,0.00625,0.01,4.0,False,,0.0,none,,5.0,,,,,,none,none,,5.6,0.0,5.6,2.7,2.9,0.0,0.0,16.4,10.3,6.1,0.0,False,,,,,,,,,,
stage2__init-A_weak_only__method-anil__kpos-1__kneg-1__steps-3__target-Logistics__synprop-0.5__gen-smote_nc,anil,A_weak_only,Logistics,1,1,3,success,0.4815104166666668,0.1051672504383416,0.7280293698773681,0.0812693675477646,0.7990070711608246,0.2023686938452004,0.2933691060219523,0.0815865543941946,0.2801860488472033,0.1280577188663732,0.5408813166593052,0.2837002678972414,0.5142016806722689,0.1209813537164955,0.5376983285341614,0.1841211237292908,0.6333414134884723,0.0642471070651101,15.45,2.3553131426627756,9.75,1.6085707942145413,0.7000000000000001,0.1843908891458577,0.3644570707070708,0.0971043124370806,0.7644177912697921,0.1524728756730093,0.6049999999999999,0.0497493718553309,0.6318181818181817,0.0798209514947088,0.7102440588162915,0.0523095607956193,0.6333414134884723,0.0642471070651101,1.0,0.0,0.8954486469691009,0.0463612153848486,20.0,309.0,20.0,0.0,0.5376983270049095,0.0909442912787199,0.0,0.00625,0.01,4.0,False,,0.5,smote_nc,,5.0,,,,,,smote_nc,smote_nc,,6.55,6.55,13.1,3.25,3.3,3.25,3.3,15.45,9.75,5.7,0.0,False,,,,,,,,,,
stage2__init-A_weak_only__method-anil__kpos-1__kneg-1__steps-3__target-Logistics__synprop-0.5__gen-smote_nc__tek-5,anil,A_weak_only,Logistics,1,1,3,success,0.4874973695286194,0.1079490680832178,0.7411225960955943,0.0637918464616912,0.6819115354240963,0.0484199533363164,0.2460839097630692,0.0229299357469485,0.2183212129871966,0.0758576030150982,0.629404140584606,0.1488161347379099,0.5270172556201969,0.096558752066386,0.5724957140356464,0.0723414314199032,0.6333414134884723,0.0642471070651101,15.45,2.3553131426627756,9.75,1.6085707942145413,0.6900000000000002,0.1841195263952197,0.3616792929292929,0.1044326074156606,0.7705762723261655,0.1433523404323041,0.5999999999999999,0.0547722557505166,0.6276515151515152,0.0883160815317155,0.7167962350473971,0.0470313918578217,0.6333414134884723,0.0642471070651101,1.0,0.0,0.904920080093007,0.0354566759349107,20.0,309.0,20.0,0.0,0.5724957153201103,0.1024949075654149,0.0,0.0,0.01,4.0,False,,0.5,smote_nc,5.0,5.0,,,,,,smote_nc,smote_nc,5.0,6.55,3.45,10.0,3.25,3.3,1.75,1.7,15.45,9.75,5.7,0.0,False,,,,,,,,,,
stage2__init-A_weak_only__method-anil__kpos-1__kneg-1__steps-3__target-Logistics,anil,A_weak_only,Logistics,1,1,3,success,0.4916140572390574,0.0984906325417028,0.7388278836736568,0.0774474344283447,0.9268481107412644,0.2517354937169371,0.3439860977574526,0.0986291403906667,0.3524356206656173,0.1341270555669804,0.4421262481983544,0.295433390710043,0.440713406820218,0.1142006904373685,0.5177217042248199,0.2411086356166808,0.6308672132820738,0.0868460268755322,16.4,1.8814887722226776,10.3,1.552417469626003,0.7300000000000001,0.1926136028425822,0.3607323232323232,0.1043177661379256,0.7965249137246401,0.1547751257171857,0.5999999999999999,0.0547722557505166,0.5920454545454545,0.0774813360624126,0.7035160817037447,0.0535670010846976,0.6308672132820738,0.0868460268755322,1.0,0.0,0.9038053831251652,0.042369587649158,20.0,328.0,20.0,0.0,0.5177216932177544,0.0800408296287059,0.0,0.00625,0.01,4.0,False,,0.0,none,,5.0,,,,,,none,none,,5.6,0.0,5.6,2.7,2.9,0.0,0.0,16.4,10.3,6.1,0.0,False,,,,,,,,,,
stage2__init-A_weak_only__method-anil__kpos-1__kneg-1__steps-3__target-Packaging-Material__synprop-1__gen-smote_nc,anil,A_weak_only,Packaging Material,1,1,3,success,0.2892398678992386,0.0474798057808864,0.7287087115137368,0.0394056005777504,1.6286125924612234,0.1350014041588139,0.5227834423753378,0.0319601794665446,0.5364743433179676,0.0500237321285373,0.3176239928928101,0.0850238719084473,0.2789725209080048,0.0383467258510974,0.3070752467814171,0.0648721162882478,0.805057745917961,0.0123905608810068,56.66666666666666,3.771236166328253,45.66666666666666,3.771236166328253,0.5333333333333333,0.1885618083164127,0.0595835233318133,0.023832323602395,0.4950761850387741,0.2643287098246961,0.6666666666666666,0.0942809041582063,0.1477428180574555,0.0285207401205871,0.6045926820837457,0.1745373151866826,0.6999999999999998,0.0408248290463862,0.3073415412676698,0.0133257083412699,0.6499036707697982,0.0841177182358174,3.0,170.0,3.0,0.0,0.3070752521355946,0.2390188078085581,0.1463560334528076,0.0,0.01,4.0,False,,1.0,smote_nc,,5.0,synprop_1.0_invalid,True,False,,False,,,,,,,,,,,,,,,,,,,,,,,,,
stage2__init-A_weak_only__method-anil__kpos-1__kneg-1__steps-3__target-Packaging-Material__synprop-0.9__gen-smote_nc,anil,A_weak_only,Packaging Material,1,1,3,success,0.2776597949692224,0.0437041518908273,0.7166673570668298,0.0361184601806433,1.5334113019440667,0.1664795018490545,0.498519246361162,0.0427305597947599,0.5068748200749141,0.0544899685103835,0.3848363499976403,0.1109894623054556,0.313105096197421,0.0600791314518769,0.3505361889430924,0.0742288411404803,0.8043628723272771,0.0106101836208647,56.4,3.2,45.4,3.2,0.48,0.16,0.0535630778783557,0.0199179154543813,0.4203324375489973,0.2243297427275593,0.64,0.08,0.1420845824722764,0.0234560293337724,0.5552639996686094,0.148175624912501,0.7,0.0447213595499957,0.3086998282737142,0.0117309268027821,0.6278839017323521,0.075141256207067,5.0,282.0,5.0,0.0,0.3505362033843994,0.2579291582107544,0.1272772216042516,0.0,0.01,4.0,False,,0.9,smote_nc,,5.0,,False,False,,True,,,,,,,,,,,,,,,,,,,,,,,,,
stage2__init-A_weak_only__method-anil__kpos-1__kneg-1__steps-3__target-Packaging-Material__synprop-0__gen-none,anil,A_weak_only,Packaging Material,1,1,3,success,0.3173191736322975,0.0848737279661609,0.7443203450614083,0.0574048645504391,1.5100108054078674,0.3558164157832223,0.4871232079662282,0.0947556179227699,0.501063033533664,0.1095079123314739,0.3684106834149735,0.1724938741332188,0.3164596465208256,0.0903376673577572,0.3478167250201786,0.1124574371822024,0.8049746632060314,0.0112697329739764,56.6,3.4117444218463966,45.6,3.4117444218463966,0.62,0.2749545416973504,0.0685808811401849,0.0312829767005433,0.5732959092704015,0.3236667812556816,0.71,0.1374772708486752,0.1567686352126204,0.0335002948556395,0.654656752831723,0.2108181282537441,0.7125,0.0588960949469487,0.3132622173065168,0.025880701746859,0.6759701695263637,0.1122533673366212,20.0,1132.0,20.0,0.0,0.3478167340159416,0.235599523037672,0.1328235076010381,0.0,0.01,4.0,False,,0.0,none,,5.0,,,,,,none,none,,19.4,0.0,19.4,8.4,11.0,0.0,0.0,56.6,45.6,11.0,0.0,False,,,,,,,,,,
stage2__init-A_weak_only__method-anil__kpos-1__kneg-1__steps-3__target-Packaging-Material__synprop-0.5__gen-smote_nc,anil,A_weak_only,Packaging Material,1,1,3,success,0.3589325892742955,0.0624674832258566,0.771390164563855,0.0534286167488192,1.5973611668951029,0.6027046552176535,0.4917011773191088,0.1444844913335501,0.5153176262756041,0.1584322205647258,0.3400506166218939,0.2359087181079851,0.3330315576978536,0.1200305901757918,0.3238243291736861,0.1778606088437297,0.8062888806492812,0.0117052356335119,57.0,3.5496478698597698,46.0,3.5496478698597698,0.74,0.2835489375751565,0.0802311028320284,0.0300009969951856,0.7123957096240534,0.3276709963005455,0.77,0.1417744687875783,0.1676892627412171,0.0301868246229787,0.7459516751162997,0.2122942205859032,0.73,0.04,0.3186657740780626,0.023512315591849,0.7261030905782115,0.0977359672068968,20.0,1140.0,20.0,0.0,0.3238243289291859,0.189136846922338,0.1808233428088823,0.0,0.01,4.0,False,,0.5,smote_nc,,5.0,,,,,,smote_nc,smote_nc,,19.0,19.0,38.0,8.0,11.0,8.0,11.0,57.0,46.0,11.0,0.0,False,,,,,,,,,,
